agency,site,date,discharge_cfs,height_ft
USGS,6719505,2013-09-09 00:00,4.25,119
USGS,6719505,2013-09-09 00:15,4.25,119
USGS,6719505,2013-09-09 00:30,4.25,119
USGS,6719505,2013-09-09 00:45,4.24,118
USGS,6719505,2013-09-09 01:00,4.24,118
USGS,6719505,2013-09-09 01:15,4.24,118
USGS,6719505,2013-09-09 01:30,4.24,118
USGS,6719505,2013-09-09 01:45,4.24,118
USGS,6719505,2013-09-09 02:00,4.24,118
USGS,6719505,2013-09-09 02:15,4.25,119
USGS,6719505,2013-09-09 02:30,4.25,119
USGS,6719505,2013-09-09 02:45,4.25,119
USGS,6719505,2013-09-09 03:00,4.26,121
USGS,6719505,2013-09-09 03:15,4.26,121
USGS,6719505,2013-09-09 03:30,4.27,123
USGS,6719505,2013-09-09 03:45,4.27,123
USGS,6719505,2013-09-09 04:00,4.27,123
USGS,6719505,2013-09-09 04:15,4.27,123
USGS,6719505,2013-09-09 04:30,4.27,123
USGS,6719505,2013-09-09 04:45,4.27,123
USGS,6719505,2013-09-09 05:00,4.27,123
USGS,6719505,2013-09-09 05:15,4.27,123
USGS,6719505,2013-09-09 05:30,4.28,124
USGS,6719505,2013-09-09 05:45,4.27,123
USGS,6719505,2013-09-09 06:00,4.25,119
USGS,6719505,2013-09-09 06:15,4.24,118
USGS,6719505,2013-09-09 06:30,4.24,118
USGS,6719505,2013-09-09 06:45,4.24,118
USGS,6719505,2013-09-09 07:00,4.24,118
USGS,6719505,2013-09-09 07:15,4.24,118
USGS,6719505,2013-09-09 07:30,4.25,119
USGS,6719505,2013-09-09 07:45,4.25,119
USGS,6719505,2013-09-09 08:00,4.25,119
USGS,6719505,2013-09-09 08:15,4.25,119
USGS,6719505,2013-09-09 08:30,4.25,119
USGS,6719505,2013-09-09 08:45,4.25,119
USGS,6719505,2013-09-09 09:00,4.25,119
USGS,6719505,2013-09-09 09:15,4.25,119
USGS,6719505,2013-09-09 09:30,4.25,119
USGS,6719505,2013-09-09 09:45,4.25,119
USGS,6719505,2013-09-09 10:00,4.25,119
USGS,6719505,2013-09-09 10:15,4.24,118
USGS,6719505,2013-09-09 10:30,4.24,118
USGS,6719505,2013-09-09 10:45,4.24,118
USGS,6719505,2013-09-09 11:00,4.24,118
USGS,6719505,2013-09-09 11:15,4.24,118
USGS,6719505,2013-09-09 11:30,4.24,118
USGS,6719505,2013-09-09 11:45,4.24,118
USGS,6719505,2013-09-09 12:00,4.24,118
USGS,6719505,2013-09-09 12:15,4.25,119
USGS,6719505,2013-09-09 12:30,4.26,121
USGS,6719505,2013-09-09 12:45,4.26,121
USGS,6719505,2013-09-09 13:00,4.26,121
USGS,6719505,2013-09-09 13:15,4.26,121
USGS,6719505,2013-09-09 13:30,4.27,123
USGS,6719505,2013-09-09 13:45,4.26,121
USGS,6719505,2013-09-09 14:00,4.26,121
USGS,6719505,2013-09-09 14:15,4.26,121
USGS,6719505,2013-09-09 14:30,4.27,123
USGS,6719505,2013-09-09 14:45,4.28,124
USGS,6719505,2013-09-09 15:00,4.32,131
USGS,6719505,2013-09-09 15:15,4.33,133
USGS,6719505,2013-09-09 15:30,4.31,129
USGS,6719505,2013-09-09 15:45,4.38,142
USGS,6719505,2013-09-09 16:00,4.39,144
USGS,6719505,2013-09-09 16:15,4.39,144
USGS,6719505,2013-09-09 16:30,4.38,142
USGS,6719505,2013-09-09 16:45,4.37,140
USGS,6719505,2013-09-09 17:00,4.39,144
USGS,6719505,2013-09-09 17:15,4.37,140
USGS,6719505,2013-09-09 17:30,4.35,136
USGS,6719505,2013-09-09 17:45,4.34,135
USGS,6719505,2013-09-09 18:00,4.35,136
USGS,6719505,2013-09-09 18:15,4.35,136
USGS,6719505,2013-09-09 18:30,4.34,135
USGS,6719505,2013-09-09 18:45,4.33,133
USGS,6719505,2013-09-09 19:00,4.33,133
USGS,6719505,2013-09-09 19:15,4.32,131
USGS,6719505,2013-09-09 19:30,4.32,131
USGS,6719505,2013-09-09 19:45,4.32,131
USGS,6719505,2013-09-09 20:00,4.37,140
USGS,6719505,2013-09-09 20:15,4.48,161
USGS,6719505,2013-09-09 20:30,4.58,185
USGS,6719505,2013-09-09 20:45,4.71,218
USGS,6719505,2013-09-09 21:00,4.75,228
USGS,6719505,2013-09-09 21:15,4.75,228
USGS,6719505,2013-09-09 21:30,4.74,226
USGS,6719505,2013-09-09 21:45,4.65,201
USGS,6719505,2013-09-09 22:00,4.61,191
USGS,6719505,2013-09-09 22:15,4.58,185
USGS,6719505,2013-09-09 22:30,4.56,180
USGS,6719505,2013-09-09 22:45,4.55,178
USGS,6719505,2013-09-09 23:00,4.56,180
USGS,6719505,2013-09-09 23:15,4.59,187
USGS,6719505,2013-09-09 23:30,4.61,191
USGS,6719505,2013-09-09 23:45,4.6,189
USGS,6719505,2013-09-10 00:00,4.63,196
USGS,6719505,2013-09-10 00:15,4.69,213
USGS,6719505,2013-09-10 00:30,4.74,226
USGS,6719505,2013-09-10 00:45,4.82,250
USGS,6719505,2013-09-10 01:00,4.9,273
USGS,6719505,2013-09-10 01:15,4.91,276
USGS,6719505,2013-09-10 01:30,4.93,282
USGS,6719505,2013-09-10 01:45,4.94,285
USGS,6719505,2013-09-10 02:00,4.95,288
USGS,6719505,2013-09-10 02:15,4.95,288
USGS,6719505,2013-09-10 02:30,4.94,285
USGS,6719505,2013-09-10 02:45,4.94,285
USGS,6719505,2013-09-10 03:00,4.96,292
USGS,6719505,2013-09-10 03:15,4.97,295
USGS,6719505,2013-09-10 03:30,4.97,295
USGS,6719505,2013-09-10 03:45,4.95,288
USGS,6719505,2013-09-10 04:00,4.93,282
USGS,6719505,2013-09-10 04:15,4.93,282
USGS,6719505,2013-09-10 04:30,4.91,276
USGS,6719505,2013-09-10 04:45,4.91,276
USGS,6719505,2013-09-10 05:00,4.92,279
USGS,6719505,2013-09-10 05:15,4.93,282
USGS,6719505,2013-09-10 05:30,4.94,285
USGS,6719505,2013-09-10 05:45,4.95,288
USGS,6719505,2013-09-10 06:00,4.96,292
USGS,6719505,2013-09-10 06:15,4.97,295
USGS,6719505,2013-09-10 06:30,4.98,301
USGS,6719505,2013-09-10 06:45,4.99,304
USGS,6719505,2013-09-10 07:00,4.98,301
USGS,6719505,2013-09-10 07:15,4.98,301
USGS,6719505,2013-09-10 07:30,4.97,295
USGS,6719505,2013-09-10 07:45,4.96,292
USGS,6719505,2013-09-10 08:00,4.96,292
USGS,6719505,2013-09-10 08:15,4.96,292
USGS,6719505,2013-09-10 08:30,4.95,288
USGS,6719505,2013-09-10 08:45,4.95,288
USGS,6719505,2013-09-10 09:00,4.94,285
USGS,6719505,2013-09-10 09:15,4.94,285
USGS,6719505,2013-09-10 09:30,4.9,273
USGS,6719505,2013-09-10 09:45,4.87,264
USGS,6719505,2013-09-10 10:00,4.87,264
USGS,6719505,2013-09-10 10:15,4.87,264
USGS,6719505,2013-09-10 10:30,4.97,295
USGS,6719505,2013-09-10 10:45,4.97,295
USGS,6719505,2013-09-10 11:00,4.96,292
USGS,6719505,2013-09-10 11:15,4.93,282
USGS,6719505,2013-09-10 11:30,4.94,285
USGS,6719505,2013-09-10 11:45,4.94,285
USGS,6719505,2013-09-10 12:00,4.94,285
USGS,6719505,2013-09-10 12:15,4.94,285
USGS,6719505,2013-09-10 12:30,4.94,285
USGS,6719505,2013-09-10 12:45,4.95,288
USGS,6719505,2013-09-10 13:00,4.94,285
USGS,6719505,2013-09-10 13:15,4.93,282
USGS,6719505,2013-09-10 13:30,4.92,279
USGS,6719505,2013-09-10 13:45,4.92,279
USGS,6719505,2013-09-10 14:00,4.92,279
USGS,6719505,2013-09-10 14:15,4.92,279
USGS,6719505,2013-09-10 14:30,4.92,279
USGS,6719505,2013-09-10 14:45,4.91,276
USGS,6719505,2013-09-10 15:00,4.91,276
USGS,6719505,2013-09-10 15:15,4.91,276
USGS,6719505,2013-09-10 15:30,4.91,276
USGS,6719505,2013-09-10 15:45,4.91,276
USGS,6719505,2013-09-10 16:00,4.91,276
USGS,6719505,2013-09-10 16:15,4.9,273
USGS,6719505,2013-09-10 16:30,4.91,276
USGS,6719505,2013-09-10 16:45,4.91,276
USGS,6719505,2013-09-10 17:00,4.93,282
USGS,6719505,2013-09-10 17:15,4.94,285
USGS,6719505,2013-09-10 17:30,4.95,288
USGS,6719505,2013-09-10 17:45,4.97,295
USGS,6719505,2013-09-10 18:00,4.97,295
USGS,6719505,2013-09-10 18:15,5.02,314
USGS,6719505,2013-09-10 18:30,5.09,338
USGS,6719505,2013-09-10 18:45,5.16,367
USGS,6719505,2013-09-10 19:00,5.14,360
USGS,6719505,2013-09-10 19:15,5.11,345
USGS,6719505,2013-09-10 19:30,5.09,338
USGS,6719505,2013-09-10 19:45,5.1,342
USGS,6719505,2013-09-10 20:00,5.09,338
USGS,6719505,2013-09-10 20:15,5.1,342
USGS,6719505,2013-09-10 20:30,5.08,335
USGS,6719505,2013-09-10 20:45,5.06,328
USGS,6719505,2013-09-10 21:00,5.03,318
USGS,6719505,2013-09-10 21:15,5.01,311
USGS,6719505,2013-09-10 21:30,5,308
USGS,6719505,2013-09-10 21:45,4.99,304
USGS,6719505,2013-09-10 22:00,5,308
USGS,6719505,2013-09-10 22:15,5.08,335
USGS,6719505,2013-09-10 22:30,5.09,338
USGS,6719505,2013-09-10 22:45,5.07,331
USGS,6719505,2013-09-10 23:00,5.07,331
USGS,6719505,2013-09-10 23:15,5.03,318
USGS,6719505,2013-09-10 23:30,5.02,314
USGS,6719505,2013-09-10 23:45,5.01,311
USGS,6719505,2013-09-11 00:00,5.06,328
USGS,6719505,2013-09-11 00:15,5.09,338
USGS,6719505,2013-09-11 00:30,5.08,335
USGS,6719505,2013-09-11 00:45,5.08,335
USGS,6719505,2013-09-11 01:00,5.05,324
USGS,6719505,2013-09-11 01:15,5.04,321
USGS,6719505,2013-09-11 01:30,5.04,321
USGS,6719505,2013-09-11 01:45,5.02,314
USGS,6719505,2013-09-11 02:00,5.02,314
USGS,6719505,2013-09-11 02:15,5.03,318
USGS,6719505,2013-09-11 02:30,5.08,335
USGS,6719505,2013-09-11 02:45,5.12,349
USGS,6719505,2013-09-11 03:00,5.16,367
USGS,6719505,2013-09-11 03:15,5.16,367
USGS,6719505,2013-09-11 03:30,5.16,367
USGS,6719505,2013-09-11 03:45,5.15,363
USGS,6719505,2013-09-11 04:00,5.18,375
USGS,6719505,2013-09-11 04:15,5.19,378
USGS,6719505,2013-09-11 04:30,5.19,378
USGS,6719505,2013-09-11 04:45,5.2,382
USGS,6719505,2013-09-11 05:00,5.2,382
USGS,6719505,2013-09-11 05:15,5.18,375
USGS,6719505,2013-09-11 05:30,5.17,371
USGS,6719505,2013-09-11 05:45,5.17,371
USGS,6719505,2013-09-11 06:00,5.19,378
USGS,6719505,2013-09-11 06:15,5.2,382
USGS,6719505,2013-09-11 06:30,5.19,378
USGS,6719505,2013-09-11 06:45,5.2,382
USGS,6719505,2013-09-11 07:00,5.18,375
USGS,6719505,2013-09-11 07:15,5.17,371
USGS,6719505,2013-09-11 07:30,5.19,378
USGS,6719505,2013-09-11 07:45,5.19,378
USGS,6719505,2013-09-11 08:00,5.19,378
USGS,6719505,2013-09-11 08:15,5.19,378
USGS,6719505,2013-09-11 08:30,5.19,378
USGS,6719505,2013-09-11 08:45,5.08,335
USGS,6719505,2013-09-11 09:00,5.08,335
USGS,6719505,2013-09-11 09:15,5.08,335
USGS,6719505,2013-09-11 09:30,5.08,335
USGS,6719505,2013-09-11 09:45,5.08,335
USGS,6719505,2013-09-11 10:00,5.08,335
USGS,6719505,2013-09-11 10:15,5.07,331
USGS,6719505,2013-09-11 10:30,5.05,324
USGS,6719505,2013-09-11 10:45,5.06,328
USGS,6719505,2013-09-11 11:00,5.06,328
USGS,6719505,2013-09-11 11:15,5.06,328
USGS,6719505,2013-09-11 11:30,5.06,328
USGS,6719505,2013-09-11 11:45,5.05,324
USGS,6719505,2013-09-11 12:00,5.06,328
USGS,6719505,2013-09-11 12:15,5.06,328
USGS,6719505,2013-09-11 12:30,5.05,324
USGS,6719505,2013-09-11 12:45,5.06,328
USGS,6719505,2013-09-11 13:00,5.04,321
USGS,6719505,2013-09-11 13:15,5.02,314
USGS,6719505,2013-09-11 13:30,5.01,311
USGS,6719505,2013-09-11 13:45,5,308
USGS,6719505,2013-09-11 14:00,5,308
USGS,6719505,2013-09-11 14:15,5,308
USGS,6719505,2013-09-11 14:30,5.01,311
USGS,6719505,2013-09-11 14:45,4.98,301
USGS,6719505,2013-09-11 15:00,4.99,304
USGS,6719505,2013-09-11 15:15,4.99,304
USGS,6719505,2013-09-11 15:30,5,308
USGS,6719505,2013-09-11 15:45,5,308
USGS,6719505,2013-09-11 16:00,5,308
USGS,6719505,2013-09-11 16:15,5.01,311
USGS,6719505,2013-09-11 16:30,5.02,314
USGS,6719505,2013-09-11 16:45,5.03,318
USGS,6719505,2013-09-11 17:00,5.03,318
USGS,6719505,2013-09-11 17:15,5.03,318
USGS,6719505,2013-09-11 17:30,5.02,314
USGS,6719505,2013-09-11 17:45,5.02,314
USGS,6719505,2013-09-11 18:00,5.01,311
USGS,6719505,2013-09-11 18:15,5,308
USGS,6719505,2013-09-11 18:30,4.97,295
USGS,6719505,2013-09-11 18:45,4.96,292
USGS,6719505,2013-09-11 19:00,4.96,292
USGS,6719505,2013-09-11 19:15,4.96,292
USGS,6719505,2013-09-11 19:30,4.96,292
USGS,6719505,2013-09-11 19:45,4.96,292
USGS,6719505,2013-09-11 20:00,4.97,295
USGS,6719505,2013-09-11 20:15,4.96,292
USGS,6719505,2013-09-11 20:30,4.96,292
USGS,6719505,2013-09-11 20:45,4.95,288
USGS,6719505,2013-09-11 21:00,4.95,288
USGS,6719505,2013-09-11 21:15,4.96,292
USGS,6719505,2013-09-11 21:30,4.97,295
USGS,6719505,2013-09-11 21:45,4.98,301
USGS,6719505,2013-09-11 22:00,4.99,304
USGS,6719505,2013-09-11 22:15,4.98,301
USGS,6719505,2013-09-11 22:30,4.99,304
USGS,6719505,2013-09-11 22:45,4.98,301
USGS,6719505,2013-09-11 23:00,5,308
USGS,6719505,2013-09-11 23:15,5,308
USGS,6719505,2013-09-11 23:30,5.02,314
USGS,6719505,2013-09-11 23:45,5.03,318
USGS,6719505,2013-09-12 00:00,5.05,324
USGS,6719505,2013-09-12 00:15,5.06,328
USGS,6719505,2013-09-12 00:30,5.08,335
USGS,6719505,2013-09-12 00:45,5.22,390
USGS,6719505,2013-09-12 01:00,5.22,390
USGS,6719505,2013-09-12 01:15,5.22,390
USGS,6719505,2013-09-12 01:30,5.21,386
USGS,6719505,2013-09-12 01:45,5.2,382
USGS,6719505,2013-09-12 02:00,5.2,382
USGS,6719505,2013-09-12 02:15,5.21,386
USGS,6719505,2013-09-12 02:30,5.2,382
USGS,6719505,2013-09-12 02:45,5.22,390
USGS,6719505,2013-09-12 03:00,5.21,386
USGS,6719505,2013-09-12 03:15,5.23,394
USGS,6719505,2013-09-12 03:30,5.24,398
USGS,6719505,2013-09-12 03:45,5.24,398
USGS,6719505,2013-09-12 04:00,5.25,402
USGS,6719505,2013-09-12 04:15,5.24,398
USGS,6719505,2013-09-12 04:30,5.26,406
USGS,6719505,2013-09-12 04:45,5.25,402
